country,iso_code,date,Population,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
United Kingdom,,11/03/2021,66834405.00,1994045,1844636,149409,26812,24025,36.5,33.76,2.73,4398,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Serbia,SRB,11/03/2021,6944975.00,1827340,1161194,666146,34428,35765,26.85,17.06,9.79,5256,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://www.rts.rs/page/stories/sr/%D0%9A%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81/story/3134/koronavirus-u-srbiji/4292355/koronavirus-srbija-mere-vikend-zatvaranja.html
Seychelles,SYC,11/03/2021,97625.00,88106,61070,27036,773,913,89.59,62.1,27.49,9284,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.facebook.com/mohseychellesofficial/photos/pcb.1682413525293105/1682413471959777/
Slovakia,SVK,11/03/2021,5454073.00,596924,388584,208340,17284,12952,10.93,7.12,3.82,2372,Pfizer/BioNTech,Ministry of Health,https://github.com/Institut-Zdravotnych-Analyz/covid19-data
Slovenia,SVN,11/03/2021,2087946.00,237258,160685,76573,13279,5809,11.41,7.73,3.68,2794,"Oxford/AstraZeneca, Pfizer/BioNTech","National Institute of Public Health, via Sledilnik",https://covid-19.sledilnik.org/en/stats
South Africa,ZAF,11/03/2021,58558270.00,138014,138014,138014,9127,6569,0.23,0.23,0.23,111,Johnson&Johnson,Ministry of Health,https://sacoronavirus.co.za/
South Korea,KOR,11/03/2021,51709098.00,546277,546277,,45642,45775,1.07,1.07,,893,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
Spain,ESP,11/03/2021,47076781.00,5352767,3769523,1583244,180661,125884,11.45,8.06,3.39,2692,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion_20210312.ods
Sri Lanka,LKA,11/03/2021,21803000.00,759548,,,7450,15508,3.55,,,724,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/Rumindahg/status/1370583763676131331
Sweden,SWE,11/03/2021,10285453.00,1049986,722519,327467,39154,24618,10.4,7.15,3.24,2438,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
Turkey,TUR,11/03/2021,83429615.00,10502494,7807838,2694656,142211,134637,12.45,9.26,3.2,1596,Sinovac,COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
Ukraine,UKR,11/03/2021,44385155.00,38237,38237,,8859,3679,0.09,0.09,,84,Oxford/AstraZeneca,Ministry of Health,https://vaccination.covid19.gov.ua/
United Arab Emirates,ARE,11/03/2021,9770529.00,6407350,,,39489,29049,64.78,,,2937,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,https://fcsc.gov.ae/en-us/Pages/Covid19/UAE-Covid-19-Updates.aspx
United Kingdom,GBR,11/03/2021,66834405.00,24759603,23314525,1445078,354372,338103,36.47,34.34,2.13,4980,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
United States,USA,11/03/2021,328239523.00,98203893,64071674,33863127,2482603,2233006,29.36,19.16,10.13,6677,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
Uruguay,URY,11/03/2021,3461734.00,170305,170305,,22507,15265,4.9,4.9,,4394,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://monitor.uruguaysevacuna.gub.uy/
United Kingdom,,11/03/2021,66834405.00,1294144,1056787,237357,38101,24612,41.05,33.52,7.53,7806,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Zimbabwe,ZWE,11/03/2021,14645468.00,36019,36019,,118,766,0.24,0.24,,52,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1370448161106448389
Albania,ALB,10/03/2021,2854191.00,21613,,,,831,0.75,,,289,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-702-te-vaksinuar-3035-testime-714-te-sheruar-631-raste-te-reja-dhe-17-humbje-jete-ne-24-oret-e-fundit/
Andorra,AND,10/03/2021,77142.00,4914,3650,1264,,264,6.36,4.72,1.64,3417,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12516-la-campanya-de-vacunacio-passara-a-la-fase-3-a-finals-d-aquesta-setmana
Argentina,ARG,10/03/2021,44938712.00,1774438,1424984,349454,125481,84735,3.93,3.15,0.77,1875,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Australia,AUS,10/03/2021,25364307.00,106200,106200,,11292,7909,0.42,0.42,,310,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
Austria,AUT,10/03/2021,8877067.00,891062,633858,257204,25790,23144,9.89,7.04,2.86,2570,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
Azerbaijan,AZE,10/03/2021,10023318.00,428635,428635,,17139,13046,4.23,4.23,,1287,Sinovac,Government of Azerbaijan,https://koronavirusinfo.az/az/post/696
Bahrain,BHR,10/03/2021,1501635.00,517901,311829,206072,3342,4931,30.44,18.33,12.11,2898,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
Bangladesh,BGD,10/03/2021,167310838.00,,,,,93530,,,,568,Oxford/AstraZeneca,Directorate General of Health Services,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-11-3-2021.pdf
Barbados,BRB,10/03/2021,287025.00,50263,50263,,506,772,17.49,17.49,,2686,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4014237895274917/5
Belgium,BEL,10/03/2021,11484055.00,1065040,701097,363943,27782,23096,9.19,6.05,3.14,1993,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belize,BLZ,10/03/2021,390353.00,2489,2489,,1023,259,0.63,0.63,,651,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/Belizehealth/photos/2642843812680684
Bermuda,BMU,10/03/2021,63918.00,27727,17395,10332,,541,44.52,27.93,16.59,8688,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/03/27727-total-vaccinations-administered/
Bolivia,BOL,10/03/2021,11513100.00,126889,117011,9878,7809,15289,1.09,1,0.08,1310,Sputnik V,Ministry of Health,https://twitter.com/SaludDeportesBo/status/1370551583285649411
Brazil,BRA,10/03/2021,212559417.00,10362487,7851531,2510956,,155024,4.88,3.69,1.18,729,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
Bulgaria,BGR,10/03/2021,6975761.00,309145,256410,52735,6994,8711,4.45,3.69,0.76,1254,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Cambodia,KHM,10/03/2021,16486542.00,109854,109854,,20348,9849,0.66,0.66,,589,Sinopharm/Beijing,Ministry of Health,https://www.facebook.com/MinistryofHealthofCambodia/posts/3842943682411376?__cft__[0]=AZWillbi6SVPNfcAlwgJRee1QCqfXP1Tc3IAdpxntFnRF97brk7r6Y3YIxhuyjFts2svW9WVehnKu5quMWandSzGyHSezQXVyrYl4sg00UV64QzkGg12ag-ZYM5ftYWZWi8RF-H8LkXuDmR3eAjBvseE&__tn__=%2CO%2CP-R
Canada,CAN,10/03/2021,37589262.00,2621289,2037806,583483,78036,75656,6.95,5.4,1.55,2005,"Moderna, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Chile,CHL,10/03/2021,18952038.00,5756076,4465046,1291030,396451,252581,30.11,23.36,6.75,13213,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
Colombia,COL,10/03/2021,50339443.00,480250,,,119615,41253,0.94,,,811,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx
Costa Rica,CRI,10/03/2021,5047561.00,,,,,8242,,,,1618,Pfizer/BioNTech,Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Ivory Coast,CIV,10/03/2021,25716544.00,8802,8802,,4439,1140,0.03,0.03,,43,Oxford/AstraZeneca,Ministry of Health and Public Hygiene,https://www.facebook.com/Mshpci/posts/1850730125092673?__cft__[0]=AZXqxbZNtj3nZWi4oNSL8JN651kCaHQRiAb0bu1LYu1op6JN2gJ7FUouHrltbmrXdAeUmW7Bu0ETpNW_Wz6lwIgR-n04rf1xC8UtMeTr7o0k6YwOyUl-KZ7BwyG7kY8TWDvMo-Uvl_hDRg_XzjGggQZM&__tn__=%2CO%2CP-R
Czech Republic,CZE,10/03/2021,10669709.00,958720,676949,281771,46103,30251,8.95,6.32,2.63,2825,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,10/03/2021,5818553.00,797359,572477,224882,19187,18523,13.77,9.88,3.88,3198,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Dominican Republic,DOM,10/03/2021,10738958.00,547091,547091,,66854,55038,5.04,5.04,,5074,Oxford/AstraZeneca,Ministry of Public Health,https://twitter.com/SaludPublicaRD/status/1370015677608828930
Ecuador,ECU,10/03/2021,17373662.00,,,,,4572,,,,259,Pfizer/BioNTech,Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
United Kingdom,,10/03/2021,66834405.00,20526312,19587080,939232,277680,293770,36.47,34.8,1.67,5219,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Estonia,EST,10/03/2021,1326590.00,155175,109865,45310,5095,4802,11.7,8.28,3.42,3620,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-11-marts-oopaevaga-lisandus-1957-positiivset-testi
Faroe Islands,FRO,10/03/2021,53358.00,,,,,201,,,,4113,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
Finland,FIN,10/03/2021,5520314.00,600476,515218,85258,24727,16122,10.84,9.3,1.54,2910,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov?column=measure-533185.533172.433796.533175&row=cov_vac_dose-533174L
France,FRA,10/03/2021,67059887.00,6427037,4337343,2089694,229828,201468,9.47,6.39,3.08,2970,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
Germany,DEU,10/03/2021,83132799.00,8337410,5712952,2624458,267765,224318,9.95,6.82,3.13,2677,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Ghana,GHA,10/03/2021,30417856.00,300000,300000,,,34602,0.97,0.97,,1114,Oxford/AstraZeneca,Government of Ghana,https://yen.com.gh/183605-government-sanction-refusing-covid-19-vaccine-oppong-nkrumah.html
Gibraltar,GIB,10/03/2021,34003.00,44894,28932,15962,654,796,133.25,85.87,47.38,23626,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1370393963312582658
Greece,GRC,10/03/2021,10716322.00,1190723,807280,383443,32337,28473,11.42,7.75,3.68,2732,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Guatemala,GTM,10/03/2021,16604026.00,,,,,1752,,,,98,Moderna,Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
Hong Kong,HKG,10/03/2021,7507400.00,130500,130500,,17000,11243,1.74,1.74,,1500,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.info.gov.hk/gia/general/202103/12/P2021031200872.htm
Hungary,HUN,10/03/2021,9769949.00,1476985,1149557,327428,51288,60627,15.29,11.9,3.39,6276,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/1-millio-293-ezer-beoltottak-szama-9444-az-uj-fertozott-es-elhunyt-163-beteg
Iceland,ISL,10/03/2021,361313.00,,,,,1171,,,,3432,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,10/03/2021,1366417754.00,25685011,21034481,4650530,1317105,1295566,1.86,1.52,0.34,939,"Covaxin, Oxford/AstraZeneca",Ministry of Health,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport12thMarch2021.pdf
Indonesia,IDN,10/03/2021,270203917.00,4837576,3574698,1262878,,207318,1.77,1.31,0.46,758,Sinovac,Ministry of Health,https://www.kemkes.go.id/article/view/21030300004/Situasi-Vaksinasi-COVID-19.html
Isle of Man,IMN,10/03/2021,84584.00,27326,18043,9283,1154,557,32.14,21.22,10.92,6550,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
Israel,ISR,10/03/2021,9053300.00,9072911,5073119,3999792,95056,89636,104.82,58.61,46.21,10356,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,10/03/2021,60297396.00,6033300,4225394,1807906,202338,173751,9.98,6.99,2.99,2874,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv
Japan,JPN,10/03/2021,126226568.00,148950,148915,35,41392,15950,0.12,0.12,0,126,Pfizer/BioNTech,"Ministry of Health, Labour and Welfare",https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/vaccine_sesshujisseki.html
Kenya,KEN,10/03/2021,52573973.00,4000,4000,,,667,0.01,0.01,,12,Oxford/AstraZeneca,Ministry of Health,http://www.xinhuanet.com/english/2021-03/10/c_139800534.htm
Latvia,LVA,10/03/2021,1912789.00,88832,70736,18096,2414,2567,4.71,3.75,0.96,1361,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lebanon,LBN,10/03/2021,6855713.00,87216,75341,11875,22242,4662,1.28,1.1,0.17,683,Pfizer/BioNTech,Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
Lithuania,LTU,10/03/2021,2786844.00,332799,241914,90885,15093,9330,12.22,8.89,3.34,3427,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Luxembourg,LUX,10/03/2021,619896.00,51457,36693,14764,2496,1334,8.22,5.86,2.36,2131,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://data.public.lu/fr/datasets/r/f56105f1-0330-416c-b16f-101b9ada3ba0
Macau,MAC,10/03/2021,682800.00,24040,24040,,1175,996,3.7,3.7,,1534,"Pfizer/ BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/368822/
Malaysia,MYS,10/03/2021,31949777.00,223923,223923,,28000,20512,0.69,0.69,,634,Pfizer/BioNTech,Government of Malaysia,https://twitter.com/JKJAVMY/status/1370608736092442625
Maldives,MDV,10/03/2021,530953.00,175456,,,9781,6576,32.46,,,12166,Oxford/AstraZeneca,Presidency of the Maldives,https://twitter.com/HPA_MV/status/1370419731929436162
Malta,MLT,10/03/2021,502653.00,108971,72725,36246,3555,3160,24.68,16.47,8.21,7157,Pfizer/BioNTech,COVID-19 Malta Public Health Response Team,https://github.com/COVID19-Malta/COVID19-Cases
Mexico,MEX,10/03/2021,126014024.00,3488000,2882000,606000,387132,122060,2.71,2.24,0.47,947,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Secretary of Health,https://www.gob.mx/salud/prensa/106-remdesivir-podra-suministrarse-a-pacientes-covid-19-con-ciertas-especificaciones?idiom=es
Moldova,MDA,10/03/2021,2657637.00,6447,6447,,,520,0.16,0.16,,129,Oxford/AstraZeneca,Ministry of Health,https://vaccinare.gov.md/
Montenegro,MNE,10/03/2021,622137.00,,,,,184,,,,293,"Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
Morocco,MAR,10/03/2021,36910560.00,4934283,4080009,854274,200083,118346,13.37,11.05,2.31,3206,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,http://www.covidmaroc.ma/pages/Accueilfr.aspx
New Zealand,NZL,10/03/2021,4841000.00,18000,18000,,,1224,0.37,0.37,,254,Pfizer/BioNTech,Ministry of Health,https://www.rnz.co.nz/news/national/438064/covid-19-vaccine-2m-new-zealanders-will-get-first-dose-within-four-months
United Kingdom,,10/03/2021,66834405.00,655643,606695,48948,7615,8398,34.62,32.04,2.58,4435,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Norway,NOR,10/03/2021,5347896.00,664408,432803,231605,37092,15884,12.26,7.98,4.27,2930,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
Oman,OMN,10/03/2021,5266535.00,98168,79149,19019,3650,2166,1.92,1.55,0.37,424,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/OmaniMOH/status/1369577366708699140/photo/1
Panama,PAN,10/03/2021,4246439.00,224765,,,10273,13165,5.21,,,3051,Pfizer/BioNTech,Ministry of Health,https://twitter.com/MINSAPma/status/1370521877278494720/photo/1
Paraguay,PRY,10/03/2021,7044636.00,2861,2861,,936,199,0.04,0.04,,28,Sputnik V,Government of Paraguay,https://vacunate.mspbs.gov.py/index-listado-vacunados.php
Peru,PER,10/03/2021,32510453.00,445409,357935,87474,9368,15467,1.35,1.09,0.27,469,Sinopharm/Beijing,Ministry of Health,https://www.datosabiertos.gob.pe/dataset/vacunaci%C3%B3n-contra-covid-19-ministerio-de-salud-minsa
Philippines,PHL,10/03/2021,108116615.00,114500,114500,,,15202,0.1,0.1,,139,Sinovac,Government of the Philippines,https://newsinfo.inquirer.net/1405856/palace-ph-inoculates-over-114500-people-vs-covid-19-as-of-march-10
Poland,POL,10/03/2021,37970874.00,,,,,88535,,,,2339,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Portugal,PRT,10/03/2021,10269417.00,1055085,757663,297422,10994,22036,10.35,7.43,2.92,2161,"Moderna, Pfizer/BioNTech",General Directorate of Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
Romania,ROU,10/03/2021,19356544.00,1969846,1296161,673685,51403,46853,10.24,6.74,3.5,2435,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
Russia,RUS,10/03/2021,144373535.00,7048129,5272651,1775478,353780,222684,4.83,3.61,1.22,1526,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
Rwanda,RWA,10/03/2021,12626950.00,230000,230000,,,23326,1.78,1.78,,1801,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/RwandaHealth/status/1370347319275708419
San Marino,SMR,10/03/2021,33860.00,3668,3668,,603,398,10.81,10.81,,11727,Sputnik V,Social Security Institute,https://vaccinocovid.iss.sm/
Saudi Arabia,SAU,10/03/2021,34268528.00,1685881,,,44906,97513,4.84,,,2801,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://coronamap.sa
United Kingdom,,10/03/2021,66834405.00,1967233,1825800,141433,25315,25510,36.01,33.42,2.59,4669,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Senegal,SEN,10/03/2021,16296364.00,68205,68205,,188,3224,0.41,0.41,,193,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MinisteredelaS1/status/1369984043819892739
Serbia,SRB,10/03/2021,6944975.00,1792912,1145893,647019,42379,36805,26.35,16.84,9.51,5409,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://www.rts.rs/page/stories/sr/%D0%9A%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81/story/3134/koronavirus-u-srbiji/4292355/koronavirus-srbija-mere-vikend-zatvaranja.html
Seychelles,SYC,10/03/2021,97625.00,87333,60439,26894,,924,88.81,61.46,27.35,9396,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.facebook.com/mohseychellesofficial/photos/pcb.1682413525293105/1682413471959777/
Slovakia,SVK,10/03/2021,5454073.00,579640,377775,201865,10595,12348,10.62,6.92,3.7,2262,Pfizer/BioNTech,Ministry of Health,https://github.com/Institut-Zdravotnych-Analyz/covid19-data
Slovenia,SVN,10/03/2021,2087946.00,223979,155110,68869,9487,5489,10.77,7.46,3.31,2640,"Oxford/AstraZeneca, Pfizer/BioNTech","National Institute of Public Health, via Sledilnik",https://covid-19.sledilnik.org/en/stats
